engine,query_id,repetition,planner_ms,planner_binding_ms,optimizer_ms,physical_planner_ms,status
duckdb,query_89,3,0.6085,0.6061,0.5394,1.1254,ok
duckdb,query_9,3,0.7318,0.7289,1.7002,1.2776,ok
duckdb,query_91,3,0.7060,0.7037,0.9567,1.0256,ok
duckdb,query_92,3,0.8994,0.8880,1.0380,1.3985,ok
duckdb,query_93,3,2.0703,2.0511,2.5023,4.2658,ok
duckdb,query_94,3,1.2544,1.2517,1.1222,0.8726,ok
duckdb,query_95,3,0.8450,0.8419,0.8329,1.7436,ok
duckdb,query_97,3,1.0839,1.0808,1.2840,1.8110,ok
duckdb,query_98,3,2.0187,1.9877,1.0556,2.5871,ok
duckdb,query_99,3,0.7306,0.7278,0.4675,1.2137,ok
duckdb,query_join_J100,3,12.2853,12.2769,12.1713,10.9266,ok
duckdb,query_join_J200,3,24.9631,24.9468,39.1347,20.4503,ok
duckdb,query_join_J50,3,6.6657,6.6599,5.3845,7.0798,ok
duckdb,query_union_U10,3,1.9948,1.9324,0.7507,2.3273,ok
duckdb,query_union_U2,3,0.4711,0.4593,0.2988,0.6238,ok
duckdb,query_union_U20,3,4.3979,4.2267,1.4079,4.5291,ok
duckdb,query_union_U5,3,1.0065,0.9696,0.4461,1.1731,ok
duckdb,query_1,4,0.4983,0.4951,0.4306,0.6565,ok
duckdb,query_10,4,1.6450,1.6247,1.1063,2.5102,ok
duckdb,query_11,4,0.5194,0.5170,0.3158,0.5224,ok
duckdb,query_12,4,0.6557,0.6498,0.6147,1.0400,ok
duckdb,query_13,4,0.5574,0.5547,0.8732,1.1193,ok
duckdb,query_14,4,0.5332,0.5311,0.5263,0.5931,ok
duckdb,query_15,4,0.6131,0.6102,0.4881,0.8058,ok
duckdb,query_17,4,1.1193,1.0993,0.6327,1.3750,ok
duckdb,query_18,4,0.5603,0.5578,0.6683,1.0163,ok
duckdb,query_2,4,0.4463,0.4439,0.4824,0.6456,ok
duckdb,query_20,4,3.2096,3.1816,3.2694,6.5868,ok
duckdb,query_21,4,0.5636,0.5613,0.4513,0.7707,ok
duckdb,query_22,4,1.5810,1.5606,1.1542,2.3534,ok
duckdb,query_23,4,0.8549,0.8522,0.7837,1.8610,ok
duckdb,query_24,4,1.0311,1.0283,0.9295,1.0465,ok
duckdb,query_25,4,1.0410,1.0281,0.6808,1.4182,ok
duckdb,query_26,4,2.1213,2.0977,1.4067,3.9914,ok
duckdb,query_27,4,0.7284,0.7261,0.6291,0.8976,ok
duckdb,query_28,4,2.0579,2.0307,1.1294,2.5587,ok
duckdb,query_3,4,1.8305,1.8136,1.2353,3.6940,ok
duckdb,query_30,4,1.2573,1.2484,0.8416,1.9063,ok
duckdb,query_31,4,0.5027,0.5002,0.5187,0.8649,ok
duckdb,query_32,4,0.4143,0.4119,0.3523,0.6501,ok
duckdb,query_33,4,0.8787,0.8760,1.5875,1.3657,ok
duckdb,query_35,4,0.5834,0.5809,0.4009,0.6197,ok
duckdb,query_36,4,1.7325,1.7297,1.3901,1.3791,ok
duckdb,query_37,4,0.8818,0.8630,0.5866,1.8531,ok
duckdb,query_39,4,2.4389,2.4354,1.6613,2.5745,ok
duckdb,query_4,4,0.6266,0.6242,0.4948,1.0718,ok
duckdb,query_40,4,0.8261,0.8236,0.5646,1.1287,ok
duckdb,query_41,4,0.7750,0.7719,1.7368,1.6613,ok
duckdb,query_42,4,1.0636,1.0456,0.8031,1.7560,ok
duckdb,query_43,4,0.8327,0.8273,0.9051,1.4207,ok
duckdb,query_44,4,0.5744,0.5635,0.4883,1.0367,ok
duckdb,query_45,4,0.3100,0.3077,0.3291,0.6212,ok
duckdb,query_46,4,0.8554,0.8449,0.4539,1.0634,ok
duckdb,query_47,4,1.9986,1.9755,1.2766,3.3584,ok
duckdb,query_48,4,1.7595,1.7565,1.1447,2.8526,ok
duckdb,query_49,4,3.2324,3.2281,1.0952,2.4221,ok
duckdb,query_5,4,0.6669,0.6577,0.5249,1.2119,ok
duckdb,query_50,4,1.1882,1.1780,1.6557,2.8484,ok
duckdb,query_51,4,1.2119,1.1985,1.2699,2.9310,ok
duckdb,query_52,4,0.3184,0.3162,0.2609,0.4376,ok
duckdb,query_53,4,0.6892,0.6865,1.6341,1.2622,ok
duckdb,query_54,4,0.7983,0.7958,0.5390,1.7788,ok
duckdb,query_55,4,0.2940,0.2917,0.2142,0.3682,ok
duckdb,query_56,4,0.5652,0.5629,0.5691,0.8945,ok
duckdb,query_57,4,0.4757,0.4732,0.5335,0.8525,ok
duckdb,query_58,4,0.6136,0.6108,0.6421,1.2200,ok
duckdb,query_59,4,0.3426,0.3401,0.3617,0.5931,ok
duckdb,query_6,4,2.6432,2.6123,1.7366,3.5823,ok
duckdb,query_60,4,0.6336,0.6308,0.7391,1.1429,ok
duckdb,query_61,4,0.3225,0.3199,0.3390,0.5723,ok
duckdb,query_62,4,0.8710,0.8469,1.1945,1.2310,ok
duckdb,query_63,4,2.6737,2.6707,1.9006,2.3583,ok
duckdb,query_64,4,0.3814,0.3790,0.3740,0.6377,ok
duckdb,query_65,4,0.3739,0.3715,0.3743,0.6487,ok
duckdb,query_66,4,3.8244,3.8204,21.9115,4.4374,ok
duckdb,query_67,4,0.3970,0.3944,0.4229,0.6844,ok
duckdb,query_68,4,1.7052,1.6810,0.8869,2.2927,ok
duckdb,query_69,4,2.7195,2.6987,1.6918,5.1003,ok
duckdb,query_7,4,0.5892,0.5766,0.5227,1.2908,ok
duckdb,query_70,4,1.0242,1.0064,0.7811,1.6031,ok
duckdb,query_71,4,0.6940,0.6914,0.4714,1.3385,ok
duckdb,query_73,4,0.7092,0.7067,0.7782,1.2732,ok
duckdb,query_74,4,0.5651,0.5630,0.7353,0.8154,ok
duckdb,query_75,4,0.7113,0.6975,0.6103,1.6985,ok
duckdb,query_76,4,1.3544,1.3431,0.7182,2.2190,ok
duckdb,query_77,4,0.7836,0.7815,0.5388,1.7522,ok
duckdb,query_79,4,0.6587,0.6562,0.6644,1.1719,ok
duckdb,query_8,4,0.5187,0.5161,0.7466,1.0290,ok
duckdb,query_80,4,0.4202,0.4177,0.4768,0.5955,ok
duckdb,query_81,4,1.6757,1.6529,1.0580,2.3366,ok
duckdb,query_82,4,0.2555,0.2533,0.2473,0.3400,ok
duckdb,query_83,4,1.6092,1.5871,1.0723,2.1546,ok
duckdb,query_84,4,1.1616,1.1481,0.6102,1.3290,ok
duckdb,query_85,4,0.4814,0.4789,0.5096,0.7167,ok
duckdb,query_86,4,0.5400,0.5377,0.5006,0.8049,ok
duckdb,query_87,4,1.0472,1.0442,3.4633,2.1029,ok
duckdb,query_88,4,0.8335,0.8311,0.7101,1.0305,ok
duckdb,query_89,4,0.6215,0.6188,0.5263,1.0736,ok
duckdb,query_9,4,0.7463,0.7432,1.7032,1.2759,ok
duckdb,query_91,4,0.7128,0.7105,0.9543,1.0247,ok
duckdb,query_92,4,0.9062,0.8949,1.0297,1.4000,ok
duckdb,query_93,4,2.0882,2.0696,2.5133,4.3034,ok
duckdb,query_94,4,1.2517,1.2490,1.1327,0.8731,ok
duckdb,query_95,4,0.8594,0.8564,0.8453,1.7350,ok
duckdb,query_97,4,1.0905,1.0878,1.3074,1.7757,ok
duckdb,query_98,4,2.0086,1.9780,1.0424,2.6148,ok
duckdb,query_99,4,0.7258,0.7230,0.4823,1.2318,ok
duckdb,query_join_J100,4,12.2991,12.2910,12.1915,11.0266,ok
duckdb,query_join_J200,4,25.1569,25.1425,38.6727,20.4148,ok
duckdb,query_join_J50,4,6.6554,6.6487,5.3279,7.0653,ok
duckdb,query_union_U10,4,2.0152,1.9215,0.7191,2.2598,ok
duckdb,query_union_U2,4,0.4740,0.4592,0.2996,0.6207,ok
duckdb,query_union_U20,4,4.4089,4.2394,1.4304,4.5472,ok
duckdb,query_union_U5,4,1.0998,1.0740,0.4516,1.1910,ok
duckdb,query_1,5,0.4818,0.4789,0.4241,0.6321,ok
duckdb,query_10,5,1.6317,1.6109,1.1002,2.4645,ok
duckdb,query_11,5,0.5343,0.5315,0.3016,0.5262,ok
duckdb,query_12,5,0.6500,0.6441,0.4367,1.0304,ok
duckdb,query_13,5,0.5600,0.5451,0.8599,1.1189,ok
duckdb,query_14,5,0.5370,0.5348,0.5012,0.5896,ok
