engine,query_id,repetition,planner_ms,planner_binding_ms,optimizer_ms,physical_planner_ms,status
duckdb,query_94,2,1.2759,1.2729,1.1426,0.8287,ok
duckdb,query_95,2,0.6520,0.6495,0.6542,1.2855,ok
duckdb,query_96,2,1.5915,1.5720,0.9189,2.6337,ok
duckdb,query_97,2,1.0700,1.0671,1.3095,1.8794,ok
duckdb,query_98,2,1.8602,1.8309,0.9126,2.3005,ok
duckdb,query_99,2,0.6942,0.6914,0.5025,1.2765,ok
duckdb,query_1,3,0.3983,0.3956,0.3906,0.6025,ok
duckdb,query_10,3,1.5620,1.5429,1.0837,2.3682,ok
duckdb,query_11,3,0.5122,0.5096,0.3113,0.5502,ok
duckdb,query_12,3,0.5207,0.5153,0.3834,0.8787,ok
duckdb,query_13,3,0.5367,0.5342,0.8733,1.1177,ok
duckdb,query_14,3,0.5720,0.5697,0.5045,0.6033,ok
duckdb,query_15,3,0.5365,0.5340,0.3846,0.6394,ok
duckdb,query_16,3,0.4094,0.4070,0.5012,0.8275,ok
duckdb,query_17,3,1.0499,1.0308,0.6012,1.1944,ok
duckdb,query_18,3,0.5340,0.5315,0.6127,1.2084,ok
duckdb,query_19,3,2.6478,2.6287,1.1351,3.4609,ok
duckdb,query_2,3,0.3907,0.3878,0.5070,0.7146,ok
duckdb,query_20,3,2.9113,2.8845,3.1310,6.8446,ok
duckdb,query_21,3,0.6175,0.6148,0.4463,0.7920,ok
duckdb,query_22,3,1.5228,1.5020,1.1168,2.3560,ok
duckdb,query_23,3,0.6619,0.6591,0.6273,1.3862,ok
duckdb,query_24,3,1.2618,1.2592,1.1778,0.8705,ok
duckdb,query_25,3,1.0251,1.0125,0.6577,1.4512,ok
duckdb,query_26,3,2.0425,2.0197,1.1502,2.6886,ok
duckdb,query_27,3,0.7626,0.7598,0.6104,0.8801,ok
duckdb,query_28,3,1.9899,1.9676,1.0029,2.2705,ok
duckdb,query_29,3,1.5871,1.5663,1.0171,1.9845,ok
duckdb,query_3,3,1.6481,1.6328,1.3118,3.8891,ok
duckdb,query_30,3,1.1239,1.1156,0.6747,1.3058,ok
duckdb,query_31,3,0.3615,0.3590,0.3981,0.5362,ok
duckdb,query_32,3,0.3943,0.3918,0.4077,0.7078,ok
duckdb,query_33,3,0.9110,0.9084,1.7114,1.4640,ok
duckdb,query_34,3,0.8293,0.8262,0.6880,1.3500,ok
duckdb,query_35,3,0.5632,0.5608,0.4071,0.6661,ok
duckdb,query_36,3,1.6158,1.6130,1.3580,1.2786,ok
duckdb,query_37,3,0.8680,0.8506,0.5038,1.4232,ok
duckdb,query_38,3,0.6012,0.5923,0.4506,0.8217,ok
duckdb,query_39,3,3.9864,3.9824,2.8178,5.0180,ok
duckdb,query_4,3,0.5747,0.5720,0.4815,0.8888,ok
duckdb,query_40,3,0.6847,0.6822,0.5604,0.8981,ok
duckdb,query_41,3,0.7449,0.7417,1.6733,1.6344,ok
duckdb,query_42,3,1.0893,1.0707,0.8181,1.7367,ok
duckdb,query_43,3,0.7558,0.7506,0.8685,1.2332,ok
duckdb,query_44,3,0.5720,0.5613,0.4948,0.9954,ok
duckdb,query_45,3,0.2442,0.2419,0.2668,0.4123,ok
duckdb,query_46,3,0.8270,0.8156,0.4288,0.9384,ok
duckdb,query_47,3,1.8830,1.8613,0.9874,2.4151,ok
duckdb,query_48,3,1.9816,1.9784,1.3740,2.5579,ok
duckdb,query_49,3,3.1326,3.1282,1.0877,2.3567,ok
duckdb,query_5,3,0.6436,0.6227,0.5431,1.1655,ok
duckdb,query_50,3,1.1574,1.1473,1.6827,2.8549,ok
duckdb,query_51,3,1.4451,1.4321,0.8061,2.2213,ok
duckdb,query_52,3,0.3084,0.3062,0.2346,0.3705,ok
duckdb,query_53,3,0.7781,0.7752,1.6318,1.3495,ok
duckdb,query_54,3,0.7727,0.7701,0.5405,1.7497,ok
duckdb,query_55,3,0.2998,0.2973,0.2205,0.4154,ok
duckdb,query_56,3,0.5511,0.5486,0.5393,0.8425,ok
duckdb,query_57,3,0.3687,0.3663,0.4708,0.7362,ok
duckdb,query_58,3,0.6943,0.6845,0.6683,1.6828,ok
duckdb,query_59,3,0.2546,0.2520,0.2728,0.4622,ok
duckdb,query_6,3,2.3600,2.3309,1.5707,3.2284,ok
duckdb,query_60,3,1.3095,1.3064,1.2383,1.0722,ok
duckdb,query_61,3,0.2713,0.2688,0.2801,0.4777,ok
duckdb,query_62,3,0.8184,0.7952,1.2040,1.1144,ok
duckdb,query_63,3,2.5522,2.5492,1.8352,2.1406,ok
duckdb,query_64,3,0.4169,0.4143,0.3737,0.6114,ok
duckdb,query_65,3,0.4124,0.4099,0.3725,0.6095,ok
duckdb,query_66,3,3.5183,3.5147,8.1391,3.7502,ok
duckdb,query_67,3,0.3815,0.3788,0.4231,0.6360,ok
duckdb,query_68,3,1.7281,1.7058,1.3678,3.3743,ok
duckdb,query_69,3,3.0069,2.9853,1.9743,5.8893,ok
duckdb,query_7,3,0.5602,0.5497,0.5069,1.0091,ok
duckdb,query_70,3,1.0287,1.0113,0.7869,1.5982,ok
duckdb,query_71,3,0.6552,0.6525,0.5599,1.4694,ok
duckdb,query_72,3,0.6723,0.6692,0.6239,1.4545,ok
duckdb,query_73,3,0.5942,0.5920,0.7148,1.2310,ok
duckdb,query_74,3,0.5564,0.5543,0.7625,0.8640,ok
duckdb,query_75,3,0.7760,0.7613,0.5001,1.3019,ok
duckdb,query_76,3,1.3113,1.3007,0.7228,2.0427,ok
duckdb,query_77,3,0.7541,0.7516,0.5499,1.7551,ok
duckdb,query_78,3,2.2718,2.2290,1.3885,3.1510,ok
duckdb,query_79,3,0.5535,0.5510,0.6257,1.0641,ok
duckdb,query_8,3,0.4786,0.4759,0.6687,0.9243,ok
duckdb,query_80,3,0.4082,0.4058,0.4862,0.5747,ok
duckdb,query_81,3,1.6911,1.6696,1.0992,2.3411,ok
duckdb,query_82,3,0.2488,0.2463,0.2610,0.3746,ok
duckdb,query_83,3,1.6073,1.5855,1.0766,2.2260,ok
duckdb,query_84,3,1.0964,1.0836,0.5966,1.2799,ok
duckdb,query_85,3,0.4034,0.4009,0.4652,0.6934,ok
duckdb,query_86,3,0.5548,0.5523,0.4843,0.7737,ok
duckdb,query_87,3,0.9446,0.9417,3.4621,2.0526,ok
duckdb,query_88,3,0.7268,0.7244,0.6022,0.8723,ok
duckdb,query_89,3,0.5545,0.5520,0.5207,0.9417,ok
duckdb,query_9,3,0.6265,0.6236,1.6488,1.2200,ok
duckdb,query_90,3,0.6324,0.6294,0.9484,1.2338,ok
duckdb,query_91,3,0.6844,0.6821,0.9774,1.0362,ok
duckdb,query_92,3,0.8836,0.8722,1.0804,1.3956,ok
duckdb,query_93,3,2.5717,2.5530,1.2399,3.9923,ok
duckdb,query_94,3,1.2597,1.2571,1.1425,0.8324,ok
duckdb,query_95,3,0.6496,0.6470,0.6401,1.2839,ok
duckdb,query_96,3,1.5935,1.5734,0.9192,2.5999,ok
duckdb,query_97,3,1.0630,1.0602,1.3110,1.8624,ok
duckdb,query_98,3,1.8376,1.8094,0.9116,2.3039,ok
duckdb,query_99,3,0.7090,0.7060,0.4886,1.2883,ok
duckdb,query_1,4,0.4071,0.4042,0.4385,0.5759,ok
duckdb,query_10,4,1.6006,1.5818,1.0673,2.3557,ok
duckdb,query_11,4,0.5202,0.5177,0.3106,0.5581,ok
duckdb,query_12,4,0.5316,0.5262,0.3802,0.9081,ok
duckdb,query_13,4,0.5384,0.5359,0.8719,1.1268,ok
duckdb,query_14,4,0.5470,0.5443,0.5277,0.6053,ok
duckdb,query_15,4,0.5478,0.5454,0.3860,0.6079,ok
duckdb,query_16,4,0.4098,0.4075,0.5005,0.7929,ok
duckdb,query_17,4,1.0515,1.0328,0.6074,1.2140,ok
duckdb,query_18,4,0.5318,0.5292,0.6169,1.2296,ok
duckdb,query_19,4,2.6807,2.6618,1.1417,3.4924,ok
duckdb,query_2,4,0.3857,0.3833,0.4725,0.6766,ok
duckdb,query_20,4,2.9550,2.9285,3.2531,6.8623,ok
duckdb,query_21,4,0.6178,0.6152,0.4569,0.7841,ok
duckdb,query_22,4,1.5483,1.5273,1.1132,2.4010,ok
duckdb,query_23,4,0.6610,0.6583,0.6316,1.3996,ok
duckdb,query_24,4,1.2527,1.2501,1.1784,0.8490,ok
duckdb,query_25,4,1.0235,1.0093,0.6539,1.4516,ok
duckdb,query_26,4,2.0514,2.0287,1.1224,2.6824,ok
duckdb,query_27,4,0.7327,0.7302,0.6180,0.8895,ok
