engine,query_name,status,execution_time_s,paper_category,detail_reason_code,detail_signature
postgres,query_62.sql,SUCCESS,14.135000,SUCCESS,,
postgres,query_63.sql,SUCCESS,561.127000,SUCCESS,,
postgres,query_64.sql,SUCCESS,47.437000,SUCCESS,,
postgres,query_65.sql,SUCCESS,93.564000,SUCCESS,,
postgres,query_66.sql,SUCCESS,41.341000,SUCCESS,,
postgres,query_67.sql,SUCCESS,134.279000,SUCCESS,,
postgres,query_68.sql,SUCCESS,31.977000,SUCCESS,,
postgres,query_69.sql,SUCCESS,355.572000,SUCCESS,,
postgres,query_70.sql,SUCCESS,62.602000,SUCCESS,,
postgres,query_71.sql,SUCCESS,62.847000,SUCCESS,,
postgres,query_72.sql,SUCCESS,162.041000,SUCCESS,,
postgres,query_73.sql,SUCCESS,30.284000,SUCCESS,,
postgres,query_74.sql,ERROR,1800.055000,TIMEOUT,statement timeout (~1800s),
postgres,query_75.sql,SUCCESS,639.592000,SUCCESS,,
postgres,query_76.sql,SUCCESS,65.943000,SUCCESS,,
postgres,query_77.sql,SUCCESS,87.345000,SUCCESS,,
postgres,query_78.sql,SUCCESS,227.020000,SUCCESS,,
postgres,query_79.sql,SUCCESS,37.672000,SUCCESS,,
postgres,query_80.sql,SUCCESS,117.624000,SUCCESS,,
postgres,query_81.sql,ERROR,1800.046000,TIMEOUT,statement timeout (~1800s),
postgres,query_82.sql,SUCCESS,0.245000,SUCCESS,,
postgres,query_83.sql,SUCCESS,0.073000,SUCCESS,,
postgres,query_84.sql,SUCCESS,5.005000,SUCCESS,,
postgres,query_85.sql,SUCCESS,4.548000,SUCCESS,,
postgres,query_86.sql,SUCCESS,29.564000,SUCCESS,,
postgres,query_87.sql,SUCCESS,139.416000,SUCCESS,,
postgres,query_88.sql,SUCCESS,241.246000,SUCCESS,,
postgres,query_89.sql,SUCCESS,33.166000,SUCCESS,,
postgres,query_90.sql,SUCCESS,23.971000,SUCCESS,,
postgres,query_91.sql,SUCCESS,4.199000,SUCCESS,,
postgres,query_92.sql,SUCCESS,11.894000,SUCCESS,,
postgres,query_93.sql,SUCCESS,0.071000,SUCCESS,,
postgres,query_94.sql,SUCCESS,0.070000,SUCCESS,,
postgres,query_95.sql,SUCCESS,0.063000,SUCCESS,,
postgres,query_96.sql,SUCCESS,30.040000,SUCCESS,,
postgres,query_97.sql,SUCCESS,59.483000,SUCCESS,,
postgres,query_98.sql,SUCCESS,70.531000,SUCCESS,,
postgres,query_99.sql,SUCCESS,34.567000,SUCCESS,,
cedardb,query_1.sql,SUCCESS,0.148000,SUCCESS,,
cedardb,query_2.sql,SUCCESS,0.210000,SUCCESS,,
cedardb,query_3.sql,SUCCESS,0.525000,SUCCESS,,
cedardb,query_4.sql,SUCCESS,1.300000,SUCCESS,,
cedardb,query_5.sql,SUCCESS,0.484000,SUCCESS,,
cedardb,query_6.sql,SUCCESS,0.246000,SUCCESS,,
cedardb,query_7.sql,SUCCESS,0.808000,SUCCESS,,
cedardb,query_8.sql,SUCCESS,0.153000,SUCCESS,,
cedardb,query_9.sql,SUCCESS,0.264000,SUCCESS,,
cedardb,query_10.sql,SUCCESS,0.152000,SUCCESS,,
cedardb,query_11.sql,SUCCESS,0.418000,SUCCESS,,
cedardb,query_12.sql,SUCCESS,0.118000,SUCCESS,,
cedardb,query_13.sql,SUCCESS,0.179000,SUCCESS,,
cedardb,query_14.sql,ERROR,0.032000,DIALECT,UNSUPPORTED_DISTINCT_IN_GROUPING_SETS,psql:<stdin>:106: ERROR:  distinct aggregate function count not supported in grouping sets
cedardb,query_15.sql,SUCCESS,0.076000,SUCCESS,,
cedardb,query_16.sql,SUCCESS,0.095000,SUCCESS,,
cedardb,query_17.sql,SUCCESS,1.303000,SUCCESS,,
cedardb,query_18.sql,ERROR,0.033000,DIALECT,UNSUPPORTED_DISTINCT_IN_GROUPING_SETS,psql:<stdin>:38: ERROR:  distinct aggregate function count not supported in grouping sets
cedardb,query_19.sql,SUCCESS,0.380000,SUCCESS,,
cedardb,query_20.sql,SUCCESS,0.196000,SUCCESS,,
cedardb,query_21.sql,SUCCESS,0.119000,SUCCESS,,
cedardb,query_22.sql,SUCCESS,1.504000,SUCCESS,,
cedardb,query_23.sql,SUCCESS,0.421000,SUCCESS,,
cedardb,query_24.sql,SUCCESS,0.564000,SUCCESS,,
cedardb,query_25.sql,SUCCESS,0.717000,SUCCESS,,
cedardb,query_26.sql,SUCCESS,0.304000,SUCCESS,,
cedardb,query_27.sql,ERROR,0.035000,DIALECT,UNSUPPORTED_DISTINCT_IN_GROUPING_SETS,psql:<stdin>:27: ERROR:  distinct aggregate function count not supported in grouping sets
cedardb,query_28.sql,SUCCESS,0.236000,SUCCESS,,
cedardb,query_29.sql,SUCCESS,0.393000,SUCCESS,,
cedardb,query_30.sql,SUCCESS,0.095000,SUCCESS,,
cedardb,query_31.sql,SUCCESS,0.143000,SUCCESS,,
cedardb,query_32.sql,SUCCESS,0.137000,SUCCESS,,
cedardb,query_33.sql,SUCCESS,0.493000,SUCCESS,,
cedardb,query_34.sql,SUCCESS,0.149000,SUCCESS,,
cedardb,query_35.sql,SUCCESS,0.344000,SUCCESS,,
cedardb,query_36.sql,SUCCESS,0.362000,SUCCESS,,
cedardb,query_37.sql,SUCCESS,0.159000,SUCCESS,,
cedardb,query_38.sql,SUCCESS,2.663000,SUCCESS,,
cedardb,query_39.sql,SUCCESS,0.135000,SUCCESS,,
cedardb,query_40.sql,SUCCESS,0.107000,SUCCESS,,
cedardb,query_41.sql,SUCCESS,0.054000,SUCCESS,,
cedardb,query_42.sql,SUCCESS,0.225000,SUCCESS,,
cedardb,query_43.sql,SUCCESS,0.098000,SUCCESS,,
cedardb,query_44.sql,SUCCESS,0.073000,SUCCESS,,
cedardb,query_45.sql,SUCCESS,0.120000,SUCCESS,,
cedardb,query_46.sql,SUCCESS,0.189000,SUCCESS,,
cedardb,query_47.sql,SUCCESS,1.221000,SUCCESS,,
cedardb,query_48.sql,SUCCESS,0.171000,SUCCESS,,
cedardb,query_49.sql,SUCCESS,0.820000,SUCCESS,,
cedardb,query_50.sql,SUCCESS,0.292000,SUCCESS,,
cedardb,query_51.sql,SUCCESS,0.480000,SUCCESS,,
cedardb,query_52.sql,SUCCESS,0.350000,SUCCESS,,
cedardb,query_53.sql,SUCCESS,0.226000,SUCCESS,,
cedardb,query_54.sql,ERROR,0.216000,FAILURE,SCALAR_SUBQUERY_MULTIPLE_ROWS,psql:<stdin>:52: ERROR:  more than one row returned by a subquery used as an expression
cedardb,query_55.sql,SUCCESS,0.198000,SUCCESS,,
cedardb,query_56.sql,SUCCESS,0.479000,SUCCESS,,
cedardb,query_57.sql,SUCCESS,0.487000,SUCCESS,,
cedardb,query_58.sql,ERROR,0.036000,DIALECT,UNSUPPORTED_AGGREGATE_CONTEXT,psql:<stdin>:66: ERROR:  aggregate functions are not allowed here
cedardb,query_59.sql,SUCCESS,0.273000,SUCCESS,,
cedardb,query_60.sql,ERROR,0.033000,DIALECT,UNSUPPORTED_AGGREGATE_CONTEXT,psql:<stdin>:82: ERROR:  aggregate functions are not allowed here
cedardb,query_61.sql,SUCCESS,0.527000,SUCCESS,,
cedardb,query_62.sql,SUCCESS,0.081000,SUCCESS,,
cedardb,query_63.sql,SUCCESS,0.214000,SUCCESS,,
cedardb,query_64.sql,SUCCESS,1.208000,SUCCESS,,
cedardb,query_65.sql,SUCCESS,0.661000,SUCCESS,,
cedardb,query_66.sql,SUCCESS,0.133000,SUCCESS,,
cedardb,query_67.sql,SUCCESS,1.263000,SUCCESS,,
cedardb,query_68.sql,SUCCESS,0.238000,SUCCESS,,
cedardb,query_69.sql,SUCCESS,0.140000,SUCCESS,,
cedardb,query_70.sql,ERROR,0.033000,DIALECT,UNSUPPORTED_DISTINCT_IN_GROUPING_SETS,psql:<stdin>:42: ERROR:  distinct aggregate function count not supported in grouping sets
cedardb,query_71.sql,ERROR,0.034000,DIALECT,UNSUPPORTED_AGGREGATE_CONTEXT,psql:<stdin>:41: ERROR:  aggregate functions are not allowed here
cedardb,query_72.sql,SUCCESS,0.232000,SUCCESS,,
cedardb,query_73.sql,SUCCESS,0.131000,SUCCESS,,
cedardb,query_74.sql,SUCCESS,0.392000,SUCCESS,,
