suite,engine,query_name,median_s,n_success
prodds,monetdb,query_union_U10.sql,72.950500,10
prodds,monetdb,query_union_U20.sql,155.100000,10
tpcds,duckdb,query_1.sql,0.464000,10
tpcds,duckdb,query_2.sql,0.975000,10
tpcds,duckdb,query_3.sql,1.951500,10
tpcds,duckdb,query_4.sql,0.630500,10
tpcds,duckdb,query_5.sql,0.480500,10
tpcds,duckdb,query_6.sql,1.568500,10
tpcds,duckdb,query_7.sql,0.327000,10
tpcds,duckdb,query_8.sql,0.747500,10
tpcds,duckdb,query_9.sql,0.898000,10
tpcds,duckdb,query_10.sql,3.089500,10
tpcds,duckdb,query_11.sql,0.533500,10
tpcds,duckdb,query_12.sql,0.563500,10
tpcds,duckdb,query_13.sql,0.282500,10
tpcds,duckdb,query_14.sql,0.366000,10
tpcds,duckdb,query_15.sql,0.627000,10
tpcds,duckdb,query_16.sql,1.014000,10
tpcds,duckdb,query_17.sql,0.626000,10
tpcds,duckdb,query_18.sql,0.622000,10
tpcds,duckdb,query_19.sql,0.847000,10
tpcds,duckdb,query_20.sql,2.132500,10
tpcds,duckdb,query_21.sql,0.893000,10
tpcds,duckdb,query_22.sql,0.803000,10
tpcds,duckdb,query_23.sql,0.980500,10
tpcds,duckdb,query_24.sql,0.501000,10
tpcds,duckdb,query_25.sql,0.446500,10
tpcds,duckdb,query_26.sql,0.726000,10
tpcds,duckdb,query_27.sql,0.598500,10
tpcds,duckdb,query_28.sql,0.736000,10
tpcds,duckdb,query_29.sql,0.907500,10
tpcds,duckdb,query_30.sql,1.142000,10
tpcds,duckdb,query_31.sql,1.334000,10
tpcds,duckdb,query_32.sql,0.731000,10
tpcds,duckdb,query_33.sql,0.759000,10
tpcds,duckdb,query_34.sql,0.852500,10
tpcds,duckdb,query_35.sql,9.403500,10
tpcds,duckdb,query_36.sql,0.952000,10
tpcds,duckdb,query_37.sql,0.516500,10
tpcds,duckdb,query_38.sql,1.605000,10
tpcds,duckdb,query_39.sql,0.752000,10
tpcds,duckdb,query_40.sql,0.313000,10
tpcds,duckdb,query_41.sql,0.911500,10
tpcds,duckdb,query_42.sql,1.700000,10
tpcds,duckdb,query_43.sql,2.359500,10
tpcds,duckdb,query_44.sql,0.514500,10
tpcds,duckdb,query_45.sql,0.573500,10
tpcds,duckdb,query_46.sql,3.480000,10
tpcds,duckdb,query_47.sql,1.088000,10
tpcds,duckdb,query_48.sql,1.067500,10
tpcds,duckdb,query_49.sql,0.908500,10
tpcds,duckdb,query_50.sql,0.847000,10
tpcds,duckdb,query_51.sql,1.692000,10
tpcds,duckdb,query_52.sql,2.132500,10
tpcds,duckdb,query_53.sql,0.994500,10
tpcds,duckdb,query_54.sql,0.927500,10
tpcds,duckdb,query_55.sql,3.062000,10
tpcds,duckdb,query_56.sql,0.705000,10
tpcds,duckdb,query_57.sql,0.464000,10
tpcds,duckdb,query_58.sql,0.716000,10
tpcds,duckdb,query_59.sql,0.567500,10
tpcds,duckdb,query_60.sql,0.804000,10
tpcds,duckdb,query_61.sql,0.533000,10
tpcds,duckdb,query_62.sql,0.288000,10
tpcds,duckdb,query_63.sql,0.943000,10
tpcds,duckdb,query_64.sql,0.528000,10
tpcds,duckdb,query_65.sql,0.503000,10
tpcds,duckdb,query_66.sql,0.927000,10
tpcds,duckdb,query_67.sql,0.620500,10
tpcds,duckdb,query_68.sql,4.458500,10
tpcds,duckdb,query_69.sql,4.632500,10
tpcds,duckdb,query_70.sql,1.194500,10
tpcds,duckdb,query_71.sql,1.366500,10
tpcds,duckdb,query_72.sql,0.784500,10
tpcds,duckdb,query_73.sql,0.754000,10
tpcds,duckdb,query_74.sql,0.949500,10
tpcds,duckdb,query_75.sql,0.515500,10
tpcds,duckdb,query_76.sql,1.226000,10
tpcds,duckdb,query_77.sql,0.944500,10
tpcds,duckdb,query_78.sql,0.898500,10
