str_level,query_id,median_ms,runs_success
str5,query_union_U5,367.0,10
str5,query_6,382.5,10
str5,query_7,205.5,10
str5,query_8,370.0,10
str5,query_9,325.5,10
str5,query_10,653.5,10
str5,query_union_U10,632.0,10
str5,query_11,318.0,10
str5,query_12,289.0,10
str5,query_13,226.0,10
str5,query_14,261.5,10
str5,query_15,192.0,10
str5,query_16,450.5,10
str5,query_17,278.5,10
str5,query_18,329.0,10
str5,query_19,355.5,10
str5,query_20,515.5,10
str5,query_union_U20,1336.5,10
str5,query_21,1003.0,10
str5,query_22,326.5,10
str5,query_23,728.5,10
str5,query_24,302.0,10
str5,query_25,226.5,10
str5,query_26,395.0,10
str5,query_27,286.5,10
str5,query_28,358.5,10
str5,query_29,464.5,10
str5,query_30,340.5,10
str5,query_31,242.0,10
str5,query_32,314.0,10
str5,query_33,336.0,10
str5,query_34,367.5,10
str5,query_35,1229.5,10
str5,query_36,355.0,10
str5,query_37,345.5,10
str5,query_38,434.5,10
str5,query_39,437.0,10
str5,query_40,198.0,10
str5,query_41,460.0,10
str5,query_42,604.5,10
str5,query_43,465.5,10
str5,query_44,249.5,10
str5,query_45,354.5,10
str5,query_46,1348.0,10
str5,query_47,658.0,10
str5,query_48,473.0,10
str5,query_49,251.5,10
str5,query_50,341.5,10
str5,query_join_J50,1124.0,10
str5,query_51,507.0,10
str5,query_52,245.5,10
str5,query_53,402.5,10
str5,query_54,370.5,10
str5,query_55,1448.5,10
str5,query_56,306.0,10
str5,query_57,283.5,10
str5,query_58,262.0,10
str5,query_59,386.0,10
str5,query_60,330.0,10
str5,query_61,373.5,10
str5,query_62,210.0,10
str5,query_63,496.0,10
str5,query_64,185.5,10
str5,query_65,176.5,10
str5,query_66,351.5,10
str5,query_67,305.0,10
str5,query_68,483.0,10
str5,query_69,660.0,10
str5,query_70,449.5,10
str5,query_71,520.0,10
str5,query_72,432.5,10
str5,query_73,336.0,10
str5,query_74,360.0,10
str5,query_75,323.0,10
str5,query_76,425.5,10
str5,query_77,373.5,10
str5,query_78,245.5,10
str5,query_79,287.5,10
str5,query_80,203.0,10
str5,query_81,327.0,10
str5,query_82,257.0,10
str5,query_83,357.0,10
str5,query_84,350.0,10
str5,query_85,288.5,10
str5,query_86,237.0,10
str5,query_87,404.0,10
str5,query_88,205.5,10
str5,query_89,191.0,10
str5,query_90,233.5,10
str5,query_91,385.5,10
str5,query_92,242.5,10
str5,query_93,645.5,10
str5,query_94,378.0,10
str5,query_95,330.5,10
str5,query_96,275.0,10
str5,query_97,402.5,10
str5,query_98,302.0,10
str5,query_99,370.0,10
str5,query_join_J100,1660.5,10
str5,query_join_J200,2913.0,10
str5,query_union_U200,11886.0,10
str5_len2,query_1,208.0,10
str5_len2,query_2,406.5,10
str5_len2,query_union_U2,268.5,10
str5_len2,query_3,871.5,10
str5_len2,query_4,198.0,10
str5_len2,query_5,335.0,10
str5_len2,query_union_U5,363.0,10
str5_len2,query_6,380.5,10
str5_len2,query_7,266.0,10
str5_len2,query_8,382.5,10
str5_len2,query_9,325.0,10
str5_len2,query_10,654.5,10
str5_len2,query_union_U10,660.5,10
str5_len2,query_11,301.0,10
str5_len2,query_12,295.0,10
str5_len2,query_13,220.0,10
str5_len2,query_14,263.0,10
str5_len2,query_15,181.0,10
str5_len2,query_16,426.0,10
str5_len2,query_17,267.5,10
str5_len2,query_18,326.0,10
str5_len2,query_19,363.5,10
str5_len2,query_20,512.0,10
str5_len2,query_union_U20,1216.5,10
str5_len2,query_21,1008.5,10
str5_len2,query_22,390.0,10
str5_len2,query_23,745.5,10
str5_len2,query_24,297.5,10
str5_len2,query_25,232.5,10
str5_len2,query_26,416.0,10
str5_len2,query_27,286.5,10
str5_len2,query_28,391.0,10
str5_len2,query_29,494.0,10
str5_len2,query_30,352.5,10
str5_len2,query_31,250.5,10
str5_len2,query_32,302.5,10
str5_len2,query_33,329.0,10
str5_len2,query_34,367.5,10
str5_len2,query_35,1249.0,10
str5_len2,query_36,379.5,10
str5_len2,query_37,347.0,10
str5_len2,query_38,442.5,10
str5_len2,query_39,441.5,10
str5_len2,query_40,187.0,10
str5_len2,query_41,470.5,10
str5_len2,query_42,589.0,10
str5_len2,query_43,480.5,10
str5_len2,query_44,258.0,10
str5_len2,query_45,374.5,10
str5_len2,query_46,1337.0,10
str5_len2,query_47,663.5,10
str5_len2,query_48,471.0,10
str5_len2,query_49,257.5,10
str5_len2,query_50,351.0,10
str5_len2,query_join_J50,1166.5,10
str5_len2,query_51,519.5,10
str5_len2,query_52,252.0,10
str5_len2,query_53,421.0,10
str5_len2,query_54,390.0,10
str5_len2,query_55,1450.0,10
str5_len2,query_56,314.5,10
str5_len2,query_57,272.0,10
str5_len2,query_58,276.5,10
str5_len2,query_59,409.5,10
str5_len2,query_60,353.5,10
str5_len2,query_61,388.5,10
str5_len2,query_62,227.5,10
str5_len2,query_63,501.0,10
str5_len2,query_64,196.0,10
str5_len2,query_65,189.0,10
str5_len2,query_66,364.5,10
str5_len2,query_67,308.5,10
str5_len2,query_68,497.0,10
str5_len2,query_69,676.5,10
str5_len2,query_70,461.5,10
str5_len2,query_71,524.5,10
str5_len2,query_72,426.0,10
str5_len2,query_73,334.0,10
str5_len2,query_74,365.5,10
str5_len2,query_75,307.5,10
str5_len2,query_76,422.0,10
str5_len2,query_77,402.5,10
str5_len2,query_78,255.0,10
str5_len2,query_79,307.5,10
str5_len2,query_80,215.5,10
str5_len2,query_81,335.5,10
str5_len2,query_82,265.5,10
str5_len2,query_83,383.0,10
str5_len2,query_84,346.5,10
str5_len2,query_85,296.5,10
str5_len2,query_86,241.5,10
str5_len2,query_87,439.0,10
str5_len2,query_88,256.0,10
str5_len2,query_89,205.5,10
str5_len2,query_90,365.5,10
str5_len2,query_91,383.5,10
str5_len2,query_92,241.5,10
str5_len2,query_93,639.0,10
str5_len2,query_94,588.0,10
str5_len2,query_95,344.0,10
str5_len2,query_96,285.0,10
str5_len2,query_97,426.5,10
str5_len2,query_98,302.0,10
str5_len2,query_99,384.5,10
str5_len2,query_join_J100,1676.5,10
str5_len2,query_join_J200,2891.5,10
str5_len2,query_union_U200,11796.0,10
str5_len4,query_1,212.5,10
str5_len4,query_2,414.0,10
str5_len4,query_union_U2,317.0,10
str5_len4,query_3,961.5,10
str5_len4,query_4,216.5,10
str5_len4,query_5,359.5,10
str5_len4,query_union_U5,459.0,10
str5_len4,query_6,411.0,10
str5_len4,query_7,218.5,10
str5_len4,query_8,408.0,10
str5_len4,query_9,346.0,10
str5_len4,query_10,735.5,10
str5_len4,query_union_U10,882.0,10
str5_len4,query_11,315.5,10
str5_len4,query_12,310.0,10
str5_len4,query_13,223.5,10
str5_len4,query_14,265.0,10
str5_len4,query_15,200.0,10
str5_len4,query_16,451.5,10
str5_len4,query_17,268.0,10
str5_len4,query_18,345.0,10
str5_len4,query_19,379.5,10
str5_len4,query_20,539.5,10
str5_len4,query_union_U20,1805.0,10
str5_len4,query_21,1040.0,10
str5_len4,query_22,366.0,10
str5_len4,query_23,749.5,10
str5_len4,query_24,336.5,10
str5_len4,query_25,230.5,10
str5_len4,query_26,429.0,10
str5_len4,query_27,313.0,10
str5_len4,query_28,422.0,10
str5_len4,query_29,487.5,10
str5_len4,query_30,365.5,10
str5_len4,query_31,231.5,10
str5_len4,query_32,302.0,10
str5_len4,query_33,332.5,10
str5_len4,query_34,393.0,10
str5_len4,query_35,1289.0,10
str5_len4,query_36,377.5,10
str5_len4,query_37,373.0,10
str5_len4,query_38,484.0,10
str5_len4,query_39,439.0,10
str5_len4,query_40,199.0,10
str5_len4,query_41,478.0,10
str5_len4,query_42,781.0,10
str5_len4,query_43,504.5,10
str5_len4,query_44,267.0,10
str5_len4,query_45,387.5,10
str5_len4,query_46,1481.5,10
str5_len4,query_47,682.0,10
str5_len4,query_48,506.5,10
str5_len4,query_49,259.0,10
str5_len4,query_50,339.0,10
str5_len4,query_join_J50,1240.0,10
str5_len4,query_51,498.5,10
str5_len4,query_52,257.5,10
str5_len4,query_53,441.5,10
str5_len4,query_54,407.5,10
str5_len4,query_55,1481.0,10
str5_len4,query_56,340.0,10
str5_len4,query_57,276.0,10
str5_len4,query_58,287.5,10
str5_len4,query_59,417.0,10
str5_len4,query_60,369.5,10
str5_len4,query_61,396.0,10
str5_len4,query_62,216.0,10
str5_len4,query_63,500.5,10
str5_len4,query_64,198.0,10
str5_len4,query_65,192.5,10
str5_len4,query_66,419.0,10
str5_len4,query_67,340.0,10
str5_len4,query_68,470.5,10
str5_len4,query_69,708.0,10
str5_len4,query_70,462.0,10
str5_len4,query_71,509.5,10
str5_len4,query_72,431.5,10
str5_len4,query_73,344.5,10
str5_len4,query_74,376.0,10
str5_len4,query_75,268.0,10
str5_len4,query_76,437.5,10
str5_len4,query_77,409.5,10
str5_len4,query_78,251.5,10
str5_len4,query_79,315.0,10
str5_len4,query_80,209.5,10
str5_len4,query_81,343.5,10
str5_len4,query_82,275.0,10
str5_len4,query_83,399.0,10
str5_len4,query_84,350.0,10
str5_len4,query_85,295.5,10
str5_len4,query_86,242.5,10
str5_len4,query_87,445.5,10
str5_len4,query_88,277.0,10
str5_len4,query_89,209.0,10
str5_len4,query_90,243.0,10
str5_len4,query_91,403.0,10
str5_len4,query_92,240.5,10
str5_len4,query_93,638.5,10
str5_len4,query_94,620.5,10
str5_len4,query_95,367.0,10
str5_len4,query_96,286.5,10
str5_len4,query_97,480.0,10
str5_len4,query_98,298.5,10
str5_len4,query_99,373.0,10
str5_len4,query_join_J100,1866.0,10
str5_len4,query_join_J200,3260.5,10
str5_len4,query_union_U200,16036.5,10
str6,query_1,218.0,10
str6,query_2,398.0,10
str6,query_union_U2,274.0,10
str6,query_3,908.0,10
str6,query_4,200.5,10
str6,query_5,334.0,10
str6,query_union_U5,358.5,10
str6,query_6,396.5,10
str6,query_7,225.0,10
str6,query_8,385.0,10
str6,query_9,327.0,10
str6,query_10,658.5,10
str6,query_union_U10,630.5,10
str6,query_11,329.5,10
str6,query_12,309.0,10
str6,query_13,240.5,10
str6,query_14,273.5,10
str6,query_15,191.5,10
str6,query_16,461.5,10
str6,query_17,309.0,10
str6,query_18,328.0,10
str6,query_19,377.5,10
str6,query_20,527.5,10
str6,query_union_U20,1256.5,10
str6,query_21,1002.5,10
str6,query_22,338.5,10
str6,query_23,705.0,10
str6,query_24,312.5,10
str6,query_25,231.0,10
str6,query_26,409.0,10
str6,query_27,296.5,10
str6,query_28,372.5,10
str6,query_29,458.0,10
str6,query_30,346.5,10
str6,query_31,254.0,10
str6,query_32,328.5,10
str6,query_33,346.5,10
str6,query_34,372.5,10
str6,query_35,1253.5,10
str6,query_36,380.5,10
str6,query_37,418.0,10
str6,query_38,443.0,10
str6,query_39,448.5,10
str6,query_40,194.5,10
str6,query_41,444.5,10
str6,query_42,607.5,10
str6,query_43,472.5,10
str6,query_44,259.0,10
str6,query_45,357.5,10
str6,query_46,1310.0,10
str6,query_47,646.5,10
str6,query_48,487.0,10
str6,query_49,254.0,10
str6,query_50,376.5,10
str6,query_join_J50,1145.0,10
str6,query_51,510.0,10
str6,query_52,246.5,10
str6,query_53,421.0,10
str6,query_54,372.5,10
str6,query_55,1438.0,10
str6,query_56,321.5,10
str6,query_57,277.0,10
str6,query_58,270.0,10
str6,query_59,401.0,10
str6,query_60,329.5,10
str6,query_61,356.5,10
str6,query_62,224.5,10
str6,query_63,508.5,10
str6,query_64,182.5,10
str6,query_65,177.5,10
str6,query_66,356.5,10
str6,query_67,307.0,10
str6,query_68,498.5,10
str6,query_69,665.5,10
str6,query_70,451.5,10
str6,query_71,516.0,10
str6,query_72,435.0,10
str6,query_73,335.5,10
str6,query_74,384.5,10
str6,query_75,309.5,10
str6,query_76,427.5,10
str6,query_77,391.5,10
str6,query_78,252.0,10
str6,query_79,305.0,10
str6,query_80,235.0,10
str6,query_81,342.0,10
str6,query_82,263.0,10
str6,query_83,360.0,10
str6,query_84,350.0,10
str6,query_85,284.0,10
str6,query_86,248.5,10
str6,query_87,411.5,10
str6,query_88,222.0,10
str6,query_89,209.0,10
str6,query_90,243.5,10
str6,query_91,415.0,10
str6,query_92,241.0,10
str6,query_93,636.0,10
str6,query_94,371.5,10
str6,query_95,361.0,10
str6,query_96,275.5,10
str6,query_97,420.5,10
str6,query_98,297.5,10
str6,query_99,378.5,10
str6,query_join_J100,1698.0,10
str6,query_join_J200,2963.5,10
str6,query_union_U200,11744.0,10
str7,query_1,226.5,10
str7,query_2,403.5,10
str7,query_union_U2,270.0,10
str7,query_3,909.0,10
str7,query_4,196.0,10
str7,query_5,338.5,10
str7,query_union_U5,349.5,10
str7,query_6,380.0,10
str7,query_7,215.5,10
str7,query_8,393.5,10
str7,query_9,320.5,10
str7,query_10,672.5,10
str7,query_union_U10,606.0,10
str7,query_11,314.5,10
str7,query_12,316.5,10
str7,query_13,235.5,10
str7,query_14,262.5,10
str7,query_15,192.5,10
str7,query_16,406.0,10
str7,query_17,278.0,10
str7,query_18,326.0,10
str7,query_19,360.5,10
str7,query_20,518.5,10
str7,query_union_U20,1269.0,10
str7,query_21,989.0,10
str7,query_22,385.5,10
str7,query_23,747.0,10
str7,query_24,298.0,10
str7,query_25,241.5,10
str7,query_26,395.0,10
str7,query_27,272.0,10
str7,query_28,375.0,10
str7,query_29,495.5,10
str7,query_30,343.0,10
str7,query_31,233.5,10
